No.,購入日,注文番号,注文状況,品番,商品名,素材,色,幅(cm),単価(円/m),数量(m),金額(円),作成したもの,メモ
1,2026/03/16,10286144,発送済み,75-KD-120,キルト綿,綿キルト,白,120,530,0.5,265,,袋物・ポーチなどの芯材用
2,2026/03/16,10286144,発送済み,9-83038-1-4,Nostalgia Collection スケアプリント「ナッツ&ベリー」,綿スケア,ネイビー系,110,630,2.0,1260,,
3,2026/03/16,10286144,発送済み,9-2810-8A,Exclusive Collection 60ローンプリント「Birds & Flowers」,綿60ローン,オフ白,110,1280,0.3,384,,サンプル・試し縫い用の少量
4,2026/03/16,10286144,発送済み,51-MW-10,ニュアンスカラーのフレンチダブルガーゼ無地「シュクレ」,綿ダブルガーゼ,くすみアイボリー,110,620,0.3,186,,サンプル・試し縫い用の少量
5,2026/03/16,10286144,発送済み,7-KOF-19LK,ソフトブロード無地,綿ブロード,ライトカーキ,110,650,1.7,1105,,
6,2026/03/16,10286144,発送済み,14-201117-7,トロピカルストレッチ無地,ポリエステルストレッチ,カーキ,148,898,2.2,1975,,
7,2026/03/16,10286144,発送済み,7-9106-68T,スタンダードタイプライタークロス,綿タイプライター,ベージュ,110,680,1.5,1020,,
8,2026/03/31,10288861,発送済み,7-KOF-19NV,ソフトブロード無地,綿ブロード,ネイビー,110,650,2.6,1690,,
9,2026/03/31,10288861,発送済み,9-R9030-2B,高密度80ローンプリント「ワイルドフラワー・ガーデン」,綿80ローン,白地×青系,110,1030,3.5,3605,,Tシャツ補正の練習に使用した可能性あり
10,2026/03/31,10288861,発送済み,18-4516-20,ストレッチポンチニット,ポリニット,クリームイエロー,150,580,2.4,1392,,
11,2026/03/31,10288861,発送済み,9-NF1070-73A,コッカファブリック 60ローンプリント「花と木の実」,綿60ローン,オフ白,110,780,1.2,936,,
12,2026/03/31,10288861,発送済み,51-OT1000-A,ダブルガーゼ無地,綿ダブルガーゼ,白,110,498,1.2,597,,
13,2026/03/31,10288861,発送済み,14-201117-3,トロピカルストレッチ無地,ポリエステルストレッチ,ベージュ,148,898,1.7,1526,,
14,2026/03/31,10288861,発送済み,14-201117-27,トロピカルストレッチ無地,ポリエステルストレッチ,アイボリー,148,898,1.7,1526,,
15,2026/04/12,10291100,発送済み,67-LL6600-9,おねうち価格の138cm幅リネンクロス無地,麻リネン,ネイビー,138,1380,1.5,2070,,ジャケット・パンツ用に購入。1.5mは数量不足の可能性あり(要確認)
16,2026/04/12,10291100,発送済み,14-201117-10,トロピカルストレッチ無地,ポリエステルストレッチ,ブラック,148,898,1.5,1347,,
17,2026/04/12,10291100,発送済み,67-BIO-WHITE,130cm幅ホワイトスラブリネン,麻スラブリネン,オフホワイト,130,980,1.5,1470,,ジャケット・パンツ用に購入。1.5mは数量不足の可能性あり(要確認)
18,2026/04/12,10291100,発送済み,67-SUCRE-SAMPLE,ハーフリネン「シュクレ」色見本カード,麻混,その他,--,10,1,10,,購入前の色確認用サンプル(非生地)
19,2026/04/12,10291100,発送済み,51-OT1000-A,ダブルガーゼ無地,綿ダブルガーゼ,白,110,498,3.0,1494,,
20,2026/04/21,10292977,新規（未発送）,7-1030-W1,シルキー綿ローン,綿ローン,ホワイト,110,620,4.4,2728,,ブラウス練習用（約2着分）
21,2026/04/21,10292977,新規（未発送）,9-28088-D,Exclusive Collection 60ローンプリント「タイニー・リーフ」,綿60ローン,ネイビー地,110,1280,2.2,2816,,ブラウス用
22,2026/04/21,10292977,新規（未発送）,67-205012-11,エンジェルソフトリネンプリント「線画調フラワー」,麻リネン（プリント）,ブラック,108,1180,2.2,2596,,ブラウス用。現品限り特価・在庫わずかで購入

,,,,,,,,,,,,,
,【カートのみ・未注文?(4件合計9596円)】,,,,,,,,,,,,
C1,,カート内,--,7-208016-28,240本打ち込み高密度80ローン無地,綿80ローン,フェイクグリーン,110,998,2.0,1996,,注文履歴に見当たらず。注文済みか確認を
C2,,カート内,--,9-28088-D,Exclusive Collection 60ローンプリント「タイニー・リーフ」,綿60ローン,ネイビー地,110,1280,2.0,2560,,No.21と同じ生地（数量が異なる）
C3,,カート内,--,9-83065-1-3,Nostalgia Collection スケアプリント「ポプリ」,綿スケア,ライトブルー系,110,630,4.0,2520,,注文履歴に見当たらず。注文済みか確認を
C4,,カート内,--,63-MS-001,minaco sakamoto「ひとふでがき動物園」,綿プリント,オフホワイト,110,1680,1.5,2520,,注文履歴に見当たらず。注文済みか確認を

,,,,,,,,,,,,,
,【確認済み注文合計】,,,,,,,,,,31998,,4注文分の合算
,【カートのみ合計(参考)】,,,,,,,,,,9596,,C1〜C4の合計(C2はNo.21と重複)
